Name,Categories,Address,City,State,Postcode,Phone,Fax,Latitude,Longitude,Employees,Established,ABN_Status,ABN,ABN_Name,Accuracy,ABN_2,ACN
York Street Early Education,Child Care Centres,31 York St,Indooroopilly,QLD,4068,(07) 3371 0106,,-27.495456,152.977134,,,Active,42 618 983 869,Entity Name,25%,,
YMCA Outside School Hours Care,Child Care Centres,95 Hudson Rd,Bunbury,WA,6230,(08) 9795 4004,,-33.365733,115.636625,,,Active,75 092 818 445,Business Name,25%,,
YMCA Outside School Hours Care,Child Care Centres,Cnr Beach Rd and Mirrabooka Ave,Mirrabooka,WA,6061,0407 048 758,,-31.848552,115.85534,,,Active,75 092 818 445,Business Name,25%,,
YMCA Outside School Hours Care,Child Care Centres,Neerabup Primary School Viridian Dr,Neerabup,WA,6031,0403 347 946,,-31.699534,115.809782,,,Active,75 092 818 445,Business Name,25%,,
YMCA Outside School Hours Care,Child Care Centres,Kinross Primary School Kinross Dr,Kinross,WA,6028,0403 347 954,,-31.7188,115.73679,,,Active,75 092 818 445,Business Name,25%,,
YMCA Outside School Hours Care,Child Care Centres,Kingsley Club Rooms Kingsley Dr,Kingsley,WA,6026,0403 347 949,,-31.818973,115.788971,,,Active,75 092 818 445,Business Name,25%,,
YMCA Outside School Hours Care,Child Care Centres,183 Jersey St,Wembley,WA,6014,0403 347 948,,-31.937059,115.811271,,,Active,75 092 818 445,Business Name,25%,,
YMCA Outside School Hours Care,Child Care Centres,85 Springfield Lakes Blv,Springfield Lakes,QLD,4300,(07) 3818 3741,,-27.67523,152.916524,,,Active,75 092 818 445,Business Name,25%,,
YMCA Outside School Hours Care,Child Care Centres,Stuart St,Goodna,QLD,4300,(07) 3381 0529,,-27.613161,152.887025,,,Active,75 092 818 445,Business Name,25%,,
YMCA Outside School Hours Care,Child Care Centres,Old Logan Rd,Camira,QLD,4300,(07) 3288 2488,,-27.613688,152.916117,,,Active,75 092 818 445,Business Name,25%,,
YMCA Outside School Hours Care,Child Care Centres,1020 Waterworks Rd,The Gap,QLD,4061,(07) 3300 4792,,-27.444961,152.949586,,,Active,75 092 818 445,Business Name,25%,,
YMCA Outside School Hours Care,Child Care Centres,Glory St,Ashgrove,QLD,4060,(07) 3366 1523,,-27.448226,152.978029,,,Active,75 092 818 445,Business Name,25%,,
YMCA Outside School Hours Care,Child Care Centres,200 Dawson Parade,Grovely,QLD,4054,(07) 3855 9997,,-27.401599,152.959656,,,Active,75 092 818 445,Business Name,25%,,
