Name,Categories,Address,City,State,Postcode,Phone,Fax,Latitude,Longitude,Employees,Established,ABN_Status,ABN,ABN_Name,Accuracy,ABN_2,ACN
White & Bright Family Dental Prestons,Hospitals,1985 Camden Valley Way,Prestons,NSW,2170,(02) 9825 0807,,-33.952386,150.855885,,,Active,17 565 331 723,Business Name,25%,,
Warners Bay Dental Surgery,Hospitals,Unit 6 / 2-4 King St,Warners Bay,NSW,2282,(02) 4948 5233,(02) 4948 5900,-32.975537,151.647083,Nov-20,,Active,69 207 806 768,Trading Name,25%,38 746 012 264,387 460 122
Sydney Smiles Dental,Hospitals,Ground Floor Shop 1 / 2- Help St,Chatswood,NSW,2067,(02) 9410 2001,,-33.795898,151.180036,,,Active,40 156 304 899,Entity Name,25%,,
Sydney Cosmetic Specialists,Hospitals,55 Phillip St,Parramatta,NSW,2150,(02) 9633 2423,,-33.812788,151.005076,,,Active,69 168 045 985,Entity Name,25%,,
Roman Vilderman Denture Clinic,Hospitals,72 Brighton Rd,Ripponlea,VIC,3185,(03) 9531 9590,,-37.87653,144.99579,,1995,Active,66 856 818 624,Entity Name,25%,80 097 384 891,
Pure Dentistry,Hospitals,11/1932-1974 Logan Rd,Upper Mt Gravatt,QLD,4122,(07) 3343 4869,,-27.557664,153.08096,Nov-20,2015,Active,20 972 295 754,Entity Name,25%,20 972 295 754,605 923 840
Progressive Dental,Hospitals,116 Military Rd,Neutral Bay,NSW,2089,(02) 9953 0895,,-33.829519,151.218375,,,Active,88 601 331 168,Entity Name,25%,,
OZ Dental,Hospitals,108 Princess Rd,Balga,WA,6061,(08) 9349 3470,,-31.856103,115.838113,,,Active,26 168 018 193,Entity Name,25%,,
Merredin Dental Services,Hospitals,32 Bates Street,Merredin,WA,6415,(08) 9041 2249,,-31.48016,118.278222,,,Active,52 149 909 151,Entity Name,25%,,
KIDS,Hospitals,,Mountside,QLD,4370,(07) 4942 5111,,-28.325027,151.854114,,,Active,59 137 305 107,Entity Name,25%,,
Highton Dental Centre,Hospitals,52 Barrabool Rd,Highton,VIC,3216,(03) 5242 8860,,-38.171423,144.323984,,,Active,14 618 985 747,Entity Name,25%,,
Forest Lake Dental,Hospitals,Shop 5/ 255 Forest Lake Blv,Forest Lake,QLD,4078,(07) 3879 7072,,-27.626545,152.970013,,,Active,67 128 451 788,Business Name,25%,,
Dr Ranjith Jayasinghe,Hospitals,319 Thomas St,Dandenong,VIC,3175,(03) 9791 4030,,-37.985049,145.212072,1-Oct,2000,Active,72 894 493 209,Entity Name,25%,72 894 493 209,
Direct Denture Care,Hospitals,8 Pindari Pl,Hillarys,WA,6025,(08) 9401 1195,,-31.802851,115.746222,,,Active,74 575 878 454,Trading Name,25%,,
Dental Health Services,Hospitals,Cnr 13th Street &amp; Deakin Avenue Cnr 132th Deakin Ave,Mildura,VIC,3500,(03) 5021 0944,,-34.202629,142.141148,,,Active,55 264 981 997,Entity Name,25%,,
Cryo Australia,Hospitals,Shop 4 Ground Floor 108 Wickham St,Fortitude Valley,QLD,4006,1300 279 628,,-27.460087,153.031465,,,Active,40 612 579 978,Entity Name,25%,,
Chen Gemma,Hospitals,Next To Stirling Lakes Med Ctr Suite 3 734 Karrinyup Rd,Stirling,WA,6021,(08) 9440 4455,,-31.88985,115.82147,,,Active,84 149 293 991,Trading Name,25%,,
Calton Hill Dental,Hospitals,18 Young St,Gympie,QLD,4570,(07) 5482 4442,,-26.191089,152.663624,,,Active,56 163 275 394,Entity Name,25%,,
Ballarat Denture Repair Service,Hospitals,207 Drummond St South,Ballarat,VIC,3350,(03) 5331 5196,,-37.565651,143.846817,,,Active,20 220 722 544,Business Name,25%,77 086 704 574,
Australian Dental Association,Hospitals,,Launceston,TAS,7250,(03) 6334 2561,,-41.4370868,147.1393767,,,Active,95 174 118 424,Entity Name,25%,,
Australian Dental Association,Hospitals,,Hobart,TAS,7000,(03) 6248 1546,,-42.881903,147.323815,,,Active,95 174 118 424,Entity Name,25%,,
All Denture Repairs,Hospitals,Unit 1 30 Erindale Rd,Balcatta,WA,6021,1800 772 775,,-31.86715,115.80439,,,Active,18 060 776 150,Business Name,25%,,
Adelaide Dental Emergency,Hospitals,237 Martins Rd,Parafield Gardens,SA,5107,0402 479 227,,-34.780336,138.607941,1-Oct,1998,Active,57 636 006 794,Entity Name,25%,55 123 199 888,
Adelaide Dental Emergency,Hospitals,529 Marion Rd,South Plympton,SA,5038,0402 479 227,,-34.976165,138.555957,1-Oct,1998,Active,57 636 006 794,Entity Name,25%,55 123 199 888,
Adelaide Dental Emergency,Hospitals,3 Hanson Rd,Woodville North,SA,5012,0402 479 227,,-34.874024,138.548083,1-Oct,1998,Active,57 636 006 794,Entity Name,25%,55 123 199 888,
Totally Teeth,Hospitals,,Southport,QLD,4215,1300 805 850,,-27.9673072,153.4145154,,,Active,71 736 991 809,Business Name,50%,,
The Denture Centre,Hospitals,326 Fitzgerald St,North Perth,WA,6006,(08) 9227 7321,,-31.935769,115.858857,1-Oct,1985,Active,96 009 516 492,Trading Name,50%,17 053 324 340,
SA Health,Hospitals,Alexander Kelly Dr,Noarlunga Centre,SA,5168,(08) 8384 9244,,-35.138932,138.499553,,,Active,22 876 630 988,Other Name,50%,,
Pacific Smiles Dental,Hospitals,1-45 Bay Ave,Deception Bay,QLD,4508,(07) 3203 3300,,-27.194251,153.02913,,,Active,42 103 087 449,Business Name,50%,,
MGA Dental,Hospitals,122 Salerno St,Surfers Paradise,QLD,4217,(07) 5539 9748,,-28.01254,153.41245,1-Oct,2002,Active,38 936 103 949,Trading Name,50%,64 614 868 466,
Mendelsohn Dental,Hospitals,1 312 Rokeby Rd,Subiaco,WA,6008,(08) 9388 3885,,-31.953597,115.824212,,,Active,57 234 982 690,Business Name,50%,,
McIntyre Road Dental Services Pty Ltd,Hospitals,222 Target Hill Rd,Greenwith,SA,5125,(08) 8289 9712,,-34.77053,138.706386,,,Active,45 133 157 034,Entity Name,50%,,
Dental Excel,Hospitals,2/57 Gawain Rd,Bracken Ridge,QLD,4017,(07) 3261 4222,,-27.31516,153.0332,,,Active,77 080 382 065,Business Name,50%,,
Centreway Dental,Hospitals,7 The Centre Way,Lara,VIC,3212,(03) 5282 2222,,-38.022902,144.407888,1-Oct,,Active,89 627 089 966,Business Name,50%,,
Brisbane Dental Studio,Hospitals,Cnr Sandgate and Alexandra Rds,Clayfield,QLD,4011,(07) 3862 1702,,-27.41781,153.05666,,,Active,92 124 730 874,Business Name,50%,,
Barossa Dental,Hospitals,37 Tanunda Rd,Nuriootpa,SA,5355,(08) 8562 4206,(08) 8562 1443,-34.4801,138.993152,Nov-20,2008,Active,92 124 730 874,Business Name,50%,41 321 665 891,
Barossa Dental,Hospitals,37 Barossa Valley Way,Nuriootpa,SA,5355,(08) 8562 1444,,-34.471295,138.996449,,,Active,92 124 730 874,Business Name,50%,,
Apollo Dental,Hospitals,21 Joondalup Dr,Edgewater,WA,6027,(08) 9301 0885,,-31.773126,115.782223,,,Active,38 255 879 357,Trading Name,50%,,
Toongabbie Family Dental,Hospitals,Shop 15 15-19 Toongabbie Rd,Toongabbie,NSW,2146,(02) 9636 2535,,-33.788991,150.95001,,,Active,15 140 970 181,Business Name,75%,,
SA Health,Hospitals,Cowra Ave,Gilles Plains,SA,5086,(08) 8266 0426,,-34.849359,138.662749,,,Active,22 876 630 988,Other Name,75%,,
QLD Dental Care,Hospitals,7/ 11 Logandowns Dr,Meadowbrook,QLD,4131,(07) 3805 9197,,-27.667215,153.137998,,,Active,77 601 838 206,Business Name,75%,,
Diviach Dental,Hospitals,,Altona North,VIC,3025,(03) 9393 3944,,-37.8346613,144.8475459,,,Active,68 605 910 478,Business Name,75%,,
Dentists @ Coorparoo,Hospitals,344 Old Cleveland Rd,Coorparoo,QLD,4151,(07) 3847 8001,,-27.493618,153.060124,,,Active,83 509 248 553,Business Name,75%,,
Chats Dental,Hospitals,16 Malvern Avenue,Chatswood,NSW,2067,(02) 8021 3848,,-33.793484,151.185375,,,Active,38 872 296 577,Business Name,75%,,
Toombul Smiles,Hospitals,Centro Toombul Shop 69/ 1015 Sandgate Rd,Toombul,QLD,4012,(07) 3162 9742,,-27.409068,153.061524,,,Active,90 603 078 806,Business Name,100%,,
South Perth Dental Surgery,Hospitals,48 Coode St,South Perth,WA,6151,(08) 9367 4775,,-31.981543,115.864275,,,Active,98 772 387 311,Business Name,100%,98 772 387 311,
Portrush Family Dental,Hospitals,32 Lower Portrush Rd,Marden,SA,5070,(08) 8362 7992,(08) 8363 6434,-34.894891,138.636589,1-Oct,1970,Active,48 303 998 014,Business Name,100%,48 303 998 014,
Northgate Denture Clinic,Hospitals,30 Coulter Crst,Northgate,QLD,4013,(07) 3266 4508,,-27.39208,153.075312,,,Active,93 494 728 673,Business Name,100%,,
Hillarys Denture Service,Hospitals,8 Pindari Pl,Hillarys,WA,6025,(08) 9468 8778,,-31.802851,115.746222,,,Active,56 558 664 016,Trading Name,100%,,
Harvie Dental,Hospitals,Cnr Lower Gold Coast Hwy and 2 Diana Ave,Burleigh Heads,QLD,4220,(07) 5520 2277,,-28.08557,153.44854,,,Active,21 107 417 130,Business Name,100%,21 107 417 130,
Flinders Dental,Hospitals,Shop 3/ 33 Cook St,Flinders,VIC,3929,(03) 5989 1129,,-38.474491,145.018487,,,Active,57 930 906 178,Business Name,100%,,
Enlighten Dental,Hospitals,115 Sailors Bay Rd,Northbridge,NSW,2063,(02) 9958 2333,,-33.810321,151.209332,,,Active,93 167 076 011,Business Name,100%,,
Emergency Denture Repairs,Hospitals,228 Cambridge St Cnr Gregory St,Wembley,WA,6014,(08) 9382 2222,,-31.940454,115.820862,Nov-20,1979,Active,42 671 711 786,Business Name,100%,42 671 711 786,
Applecross Dental Care,Hospitals,835 Canning Hwy,Applecross,WA,6153,(08) 9364 3408,,-32.017148,115.840671,,,Active,12 626 557 980,Business Name,100%,,
AJK Denture Venture,Hospitals,,Roleystone,WA,6111,0416 016 004,,-32.1122836,116.0697535,,,Active,22 541 531 774,Business Name,100%,,
Adelaide Emergency Dental,Hospitals,157 Archer St,North Adelaide,SA,5006,0437 733 350,,-34.907828,138.595046,1-Oct,2010,Active,86 747 754 633,Business Name,100%,,
AAA All Hours Dental Emergencies,Hospitals,270 Foote St Cnr Mount View Rd,Templestowe,VIC,3106,0403 293 267,,-37.761,145.13951,,,Active,15 425 038 234,Business Name,100%,,
A Better Dental Care,Hospitals,3/6- 8 Langmore Lane,Berwick,VIC,3806,(03) 9796 2029,,-38.03337,145.34473,,,Active,88 109 898 606,Trading Name,100%,,
