Category,Name,Address,Suburb,State,Postcode,CombinedAddress,Latitude,Longitude,Fax,Email,Website,Staff,Established,ABN,ABN_Status,ABN_Type,ABN_Accuracy
Religious Organisations,Aboriginal Evangelical Fellowship,16 Highclere Blv,Marangaroo,WA,6064,16 Highclere Blv.Marangaroo.WA.6064,-31.8327742,115.8379199,,,,,,14 719 010 013,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Adelaide College of Ministries Incorporated,20A Fourth Ave,Klemzig,SA,5087,20A Fourth Ave.Klemzig.SA.5087,-34.8772483,138.6393577,,,,,,81 588 746 059,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Anglican Institute Of Theology,Wollaston Education Centre Wollaston Rd,Mt Claremont,WA,6010,Wollaston Education Centre Wollaston Rd.Mt Claremont.WA.6010,-31.9566822,115.7700958,,,,,,59 962 540 635,Active,Other Name,25% ABN Accuracy
Religious Organisations,AngliCORD,Trinity Hall 16 Trinity Pl,East Melbourne,VIC,3002,Trinity Hall 16 Trinity Pl.East Melbourne.VIC.3002,-37.8146289,144.983708,,,,,,39 116 072 050,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Archbishop Mannix Missionary College,Ventnor St,Oakleigh,VIC,3166,Ventnor St.Oakleigh.VIC.3166,-37.8893752,145.0991117,,,,,,43 206 946 086,Active,DGR Name,25% ABN Accuracy
Religious Organisations,Australia for Christ Fellowship,1070 Stud Rd,Rowville,VIC,3178,1070 Stud Rd.Rowville.VIC.3178,-37.9156344,145.2339049,(03) 9764 8011,info@acfchurch.com,www.acfchurch.com,,1986,32 006 659 356,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Australian Province of The Society of Jesus,130 Power St,Hawthorn,VIC,3122,130 Power St.Hawthorn.VIC.3122,-37.8224404,145.0256113,,,,,,19 179 772 790,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Belgrave Heights Convention Centre Office,3 Convention Ave,Belgrave Heights,VIC,3160,3 Convention Ave.Belgrave Heights.VIC.3160,-37.9267738,145.3498668,,,,,,87 004 352 685,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Belgrave Heights Convention Lodge,23 Lockwood Rd,Belgrave Heights,VIC,3160,23 Lockwood Rd.Belgrave Heights.VIC.3160,-37.9233949,145.3481813,,,,,,87 004 352 685,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Bethel Life Centre,111 George Way,Cannington,WA,6107,111 George Way.Cannington.WA.6107,-32.0110762,115.9364594,,,,,,35 504 275 391,Active,Entity Name (Historic),25% ABN Accuracy
Religious Organisations,Bible Translators,70 Graham Rd,Kangaroo Ground,VIC,3097,70 Graham Rd.Kangaroo Ground.VIC.3097,-37.6890916,145.2086424,,,http://www.wycliffe.org.au,,,22 004 705 953,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Bright Moon Buddhist Society,536 Springvale Rd,Springvale,VIC,3171,536 Springvale Rd.Springvale.VIC.3171,-37.974169,145.147561,,,,,,88 245 919 930,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Buddhist Meditation Centre,12 Horwood St,Whyalla,SA,5600,12 Horwood St.Whyalla.SA.5600,-33.0340871,137.5874982,,,,,,19 727 954 271,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Buddhist Society Of Victoria,71 Darling Rd,Malvern East,VIC,3145,71 Darling Rd.Malvern East.VIC.3145,-37.8780209,145.0588342,,,,,,89 738 755 249,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Buddhist Society Of Western Australia (Inc),18 Nanson Way,Nollamara,WA,6061,18 Nanson Way.Nollamara.WA.6061,-31.8871724,115.8423333,,,,,,22 382 478 365,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Buddhist Society Of Western Australia (Inc),287 Reen Rd,Gidgegannup,WA,6083,287 Reen Rd.Gidgegannup.WA.6083,-31.7822388,116.1706626,,,,,,22 382 478 365,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Bush Church Aid Society,30 Croydon Rd,Keswick,SA,5035,30 Croydon Rd.Keswick.SA.5035,-34.9442273,138.5780883,,,,,,38 434 490 314,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Bush Church Aid Society,1 Burgundy St,Heidelberg,VIC,3084,1 Burgundy St.Heidelberg.VIC.3084,-37.7563978,145.0720368,,,www.bushchurchaid.com.au,,,38 434 490 314,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Calvary Worship Centre,Shop 20 Springvale Plaza 792-806 Heatherton Rd,Springvale,VIC,3171,Shop 20 Springvale Plaza 792-806 Heatherton Rd.Springvale.VIC.3171,-37.9616833,145.1505334,,,,,,83 386 320 815,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Chabad House of Bentleigh,13-17 Cecil St,Bentleigh East,VIC,3165,13-17 Cecil St.Bentleigh East.VIC.3165,-37.9195094,145.0715142,,,,,,50 203 376 804,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Chabad House Of Malvern,316 Glenferrie Rd,Armadale,VIC,3143,316 Glenferrie Rd.Armadale.VIC.3143,-37.8521138,145.0302682,,,,,,31 899 232 724,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Challenge Literature Fellowship (Aust),59B Kelvin Rd,Wattle Grove,WA,6107,59B Kelvin Rd.Wattle Grove.WA.6107,-32.0177,116.02123,,john@challengenews.org,http://www.challengenews.org,,,98 206 125 814,Active,Trading Name,25% ABN Accuracy
Religious Organisations,Child Evangelism Fellowship,7 High St,Sheffield,TAS,7306,7 High St.Sheffield.TAS.7306,-41.3850517,146.3215233,,,,,,27 003 210 624,Active,Entity Name,25% ABN Accuracy
Religious Organisations,Child Evangelism Fellowship,1089 Riversdale Rd,Surrey Hills,VIC,3127,1089 Riversdale Rd.Surrey Hills.VIC.3127,-37.8371168,145.1089193,,,,,,27 003 210 624,Active,Entity Name,25% ABN Accuracy
