Name,Categories,Address,City,State,Postcode,Phone,Website,Email,Fax,Latitude,Longitude,Employees,Established,Licence_No,ABN_Status,ABN,ABN_Name,Accuracy,ABN_2,ACN
White Sands Tavern,Bars & Restaurants,240 West Coast Hwy,Scarborough,WA,6019,(08) 9341 1119,,,,-31.896473,115.758123,,,,Active,21 960 780 761,Entity Name,25%,,
White Rabbit,Bars & Restaurants,65 Northbourne Ave,Canberra,ACT,2601,(02) 6257 7779,http://www.whiterabbitroom.com.au/ ,info@whiterabbitroom.com.au,,-35.277656,149.12873,,,,Active,52 634 245 837,Entity Name,25%,,
White Horse Tavern,Bars & Restaurants,33 Gill St,Lissner,QLD,4820,(07) 4787 1064,https://white-horse-tavern.business.site/ ,,,-20.076045,146.258824,,,,Active,88 009 933 180,Business Name,25%,,
Whistling Kite,Bars & Restaurants,7 Oasis Dr,Secret Harbour,WA,6173,(08) 9523 4499,http://www.whistlingkite.com.au/ ,"info@whistlingkite.com.au,jobs@whistlingkite.com.au",,-32.407763,115.75803,,,,Active,21 549 958 362,Trading Name,25%,,
WELCOME To Thornbury,Bars & Restaurants,518-530 High St,Northcote,VIC,3070,(03) 9020 7940,,,,-37.764551,144.99998,,,,Active,65 600 091 781,Entity Name,25%,,
Walloon Saloon,Bars & Restaurants,Queen St,Walloon,QLD,4306,(07) 5464 5163,www.facebook.com/Walloon-Saloon-422410027802007 ,,,-27.60525,152.66464,,,,Active,56 092 942 231,Trading Name,25%,,
Village Hotel,Bars & Restaurants,Grove Way,Golden Grove,SA,5125,(08) 8289 2622,,,,-34.791615,138.697833,,,,Active,68 669 268 560,Business Name,25%,,
Victoria Hotel,Bars & Restaurants,20 Victoria St,Pyramid Hill,VIC,3575,(03) 5455 7391,,,,-36.055686,144.114244,,,,Active,97 855 128 784,Trading Name,25%,,
Vaporetto Bar & Eatery,Bars & Restaurants,Rear 681 Glenferrie Rd,Hawthorn,VIC,3122,(03) 9078 5492,http://www.vaporetto.com.au ,info@vaporetto.com.au,,-37.820386,145.035534,,,,Active,29 606 059 796,Entity Name,25%,,
Uncle Ming's Bar,Bars & Restaurants,55 York St,Sydney,NSW,2000,,,info@unclemings.com.au,,-33.867218,151.205627,,,,Active,15 153 809 566,Entity Name,25%,,
Transit Bar,Bars & Restaurants,7 Akuna St,City,ACT,2601,(02) 6162 0899,,,,-35.281535,149.132449,,,,Active,70 122 927 726,Trading Name,25%,,
The Trader Bar,Bars & Restaurants,3 Harriet Pl,Darwin,NT,800,0421 675 428,https://www.thetraderbar.com/ ,"info@thetraderbar.com,pip@thetraderbar.com",,-12.456675,130.835927,,,,Active,92 105 665 030,Entity Name,25%,,
The Rabbit Hole,Bars & Restaurants,9 Gregory St,Mackay,QLD,4740,(07) 4969 1055,,,,-21.141729,149.185089,,,,Active,66 867 321 964,Business Name,25%,,
The Lookout,Bars & Restaurants,148 The Esplanade,Scarborough,WA,6019,(08) 9245 4091,https://thelookoutscarbs.com.au/ ,"info@thelookoutscarbs.com.au, info@thelookoutscarbs.com.au",,-31.893442,115.756898,,,,Active,66 399 133 060,Other Name,25%,,
The Howling Owl Cafe,Bars & Restaurants,13 Frome St,Adelaide,SA,5000,(08) 8227 1611,www.thehowlingowl.com.au ,thehowlingowlevents@gmail.com,,-34.921636,138.607541,,,,Active,55 601 332 656,Business Name,25%,,
The Gresham Bar,Bars & Restaurants,308-322 Queen St,Brisbane,QLD,4000,(07) 3211 9899,http://www.thegresham.com.au ,"info@thegresham.com.au,gatherings@thegresham.com.au",,-27.46704,153.028236,,,,Active,84 161 002 115,Entity Name,25%,,
The Grand Poobah,Bars & Restaurants,142 Liverpool St,Hobart,TAS,7000,0498 951 173,https://www.thegrandpoobahbar.com.au ,thegrandpoobahbar@gmail.com,,-42.883271,147.325627,,,,Active,21 935 026 320,Business Name,25%,,
The Glass House,Bars & Restaurants,"Main Deck, Brooke Street Pier",Hobart,TAS,7000,(03) 6223 1032,http://www.theglass.house ,info@theglass.house,,-42.884256,147.331079,,,,Active,72 359 066 328,Business Name,25%,,
The Duke,Bars & Restaurants,2 Innesvale Way,Carramar,WA,6031,(08) 9387 7766,http://www.thedukeperth.com.au/ ,"info@thedukeperth.com.au,book@thedukeperth.com.au",,-31.712185,115.790009,,,,Active,93 612 512 884,Entity Name,25%,,
The Corporate Moose,Bars & Restaurants,72 Langtree Mall,Mildura,VIC,3500,(03) 5022 8608,,thebar@thecorpmoose.com.au,,-34.18528305,142.1606477,,,,Active,88 600 899 983,Entity Name,25%,,
