Name,Categories,Address,City,State,Postcode,Phone,Website,Email,Fax,Latitude,Longitude,Employees,Established,Licence_No,ABN_Status,ABN,ABN_Name,Accuracy,ABN_2,ACN
System Seven,Schools & Training,,Cairns,QLD,4870,(07) 4034 2450,,,,-16.9227818,145.770307,,,,Active,13 715 212 107,Trading Name,25%,,
Rooz Driving School,Schools & Training,2 Grenfell Rise,Narre Warren South,VIC,3805,0490 287 785,http://www.roozdrivingschool.com.au ,admin@roozdrivingschool.com.au,,-38.029162,145.288519,,,,Active,95 814 760 438,Business Name,25%,,
Pass Plus Training Academy,Schools & Training,,Sherwood,QLD,4075,0404 709 532,,,,-27.5319035,152.9830657,,,,Active,52 159 536 811,Entity Name,25%,,
FEMALE DRIVING INSTRUCTOR,Schools & Training,Unit 1 46 Arthur Phillip Dr,Endeavour Hills,VIC,3802,(03) 9706 1642,,dewanibadu@gmail.com,,-37.992233,145.25992,,,,Active,69 194 092 330,Business Name,25%,,
Eureka 4WD Training,Schools & Training,19 Stanhope Gdns,Midvale,WA,6056,(08) 9461 2300,www.eureka4wd.com.au ,4wd@eureka4wd.com.au,,-31.891768,116.028665,1-Oct,1992,Commercial Training,Active,98 150 816 578,Entity Name,25%,70 310 997 295,150 816 578
Drive2Live,Schools & Training,,Peeramon,QLD,4885,0487 251 072,http://www.drive2live.com.au ,support@drive2live.com.au,,-17.306987,145.6156078,,,,Active,66 609 822 791,Entity Name,25%,,
Beam driving school,Schools & Training,,Leeming,WA,6149,0439 008 776,http://beamdriving.com ,"hi@typemade.mx,dave@lab6.com",,-32.078583,115.8588424,,,,Active,12 612 983 778,Trading Name,25%,,
Bates Advanced Driving Pty Ltd,Schools & Training,10 Outlook Pl,The Ridgeway,ACT,2620,(02) 6297 7281,http://www.batesadvanceddriving.com ,info@batesadvanceddriving.com,,-35.341153,149.261142,,,,Active,60 099 663 715,Entity Name,25%,,
Bates Advanced Driving,Schools & Training,9 Ironside St,Weston,ACT,2611,0412 480 339,http://www.batesadvanceddriving.com ,info@batesadvanceddriving.com,,-35.339421,149.060798,,,,Active,60 099 663 715,Entity Name,25%,60 099 663 715,099 663 715
Safe Drive Training,Schools & Training,,Tailem Bend,SA,5260,0409 366 422,,,,-35.2539454,139.4538816,,,,Active,52 094 562 213,Business Name,50%,,
Driver Training Australia,Schools & Training,,Rochedale South,QLD,4123,1800 249 641,,,,-27.5958064,153.1243314,,,,Active,11 741 007 066,Business Name,50%,,
Bells Driving School,Schools & Training,20 Fourcroy St,Karama,NT,812,(08) 8932 4046,,,,-12.407095,130.921613,,,,Active,90 092 942 356,Business Name,50%,,
AJ's Driving School,Schools & Training,,Darch,WA,6065,0449 677 065,,,,-31.8132104,115.8374559,,,,Active,20 409 286 267,Business Name,50%,,
WestAus Driver Training,Schools & Training,34 Mumford Pl,Balcatta,WA,6021,0400 497 333,http://www.westausdrivertraining.com.au ,info@wadt.com.au,,-31.857266,115.807471,,,,Active,62 867 225 637,Business Name,75%,62 867 225 637,
Trent Driving School,Schools & Training,,Penrith,NSW,2750,(02) 4731 6160,,,,-33.7521624,150.6909555,,,,Active,18 572 573 084,Trading Name,75%,,
Safe Drive Training,Schools & Training,,Shailer Park,QLD,4128,(07) 3801 3222,http://www.sdt.com.au ,info@sdt.com.au,,-27.6587475,153.1693094,,,,Active,52 094 562 213,Business Name,75%,,
