Name,Categories,Address,City,State,Postcode,Phone,Website,Email,Fax,Latitude,Longitude,Employees,Established,Licence_No,ABN_Status,ABN,ABN_Name,Accuracy,ABN_2,ACN
Target Australia Pty Ltd,Shopping Centers,195 Walsh St,Mareeba,QLD,4880,(07) 4086 2800,https://www.target.com.au/ ,,,-16.997796,145.424695,,,,Active,75 004 250 944,Entity Name,25%,,
Target Australia Pty Ltd,Shopping Centers,Lannercost St,Ingham,QLD,4850,(07) 4720 3700,https://www.target.com.au ,customersupport@target.com.au,,-18.650409,146.150726,,,,Active,75 004 250 944,Entity Name,25%,,
Target Australia Pty Ltd,Shopping Centers,Cnr North Lakes Drive and Anzac Avenue,North Lakes,QLD,4509,(07) 3480 9400,https://www.target.com.au ,customersupport@target.com.au,,-27.242622,153.020684,,,,Active,75 004 250 944,Entity Name,25%,,
Target Australia Pty Ltd,Shopping Centers,Building 5 301 Orchard Rd,Richlands,QLD,4077,(07) 3456 4137,https://supplier.target.com.au/distribution-centres-/rdc-qld ,"customersupport@target.com.au,targetqldbook2@target.com.au",,-27.586602,152.956034,,,,Active,75 004 250 944,Entity Name,25%,,
Target Australia Pty Ltd,Shopping Centers,,North Geelong,VIC,3215,1300 753 567,https://www.target.com.au/ ,,,-38.11823,144.34846,,,,Active,75 004 250 944,Entity Name,25%,,
Target Australia Pty Ltd,Shopping Centers,500 Chapel St,South Yarra,VIC,3141,(03) 9823 7800,https://www.target.com.au ,customersupport@target.com.au,,-37.842743,144.996205,,,,Active,75 004 250 944,Entity Name,25%,,
Shiploads,Shopping Centers,76- 80 Goldie St,Wynyard,TAS,7325,(03) 6238 0165,www.shiploads.com.au/ ,webshiporders@shiploads.com.au,,-40.9893,145.728362,,,,Active,65 145 401 958,Entity Name,25%,,
Salvos,Shopping Centers,1/ 450 Sherwood Rd,Sherwood,QLD,4075,(07) 3278 3326,https://salvosstores.com.au/store/qld/sherwood/709 ,"salvosstores.enquiries@salvationarmy.org.au,privacy@aus.salvationarmy.org",,-27.534503,152.991008,,,,Active,64 472 238 844,Business Name,25%,,
Platinum Deals Australia,Shopping Centers,92 Oats St,Carlisle,WA,6101,(08) 6110 9243,https://www.platinumdeals.com.au/index.php?route=common/home ,,,-31.98481,115.919687,,,,Active,49 610 850 961,Entity Name,25%,,
Ned's,Shopping Centers,"Dernancourt Shopping Centre, 832 Lower North East Road,",Dernancourt,SA,5075,(08) 8337 8917,www.neds.net.au ,,,-34.862162,138.682926,,,,Active,17 131 954 517,Entity Name,25%,,
Myer Adelaide,Shopping Centers,22 Rundle Mall,Adelaide,SA,5000,(08) 8205 9111,,,,-34.922405,138.600751,,,,Active,69 428 698 175,Business Name,25%,,
