Name,Categories,Address,City,State,Postcode,Phone,Website,Email,Fax,Latitude,Longitude,Employees,Established,Licence_No,ABN_Status,ABN,ABN_Name,Accuracy,ABN_2,ACN
Basketball SA,Sports & Fitness,,Findon,SA,5023,(08) 8345 8600,www.basketballsa.com.au ,"khudsoncamp@basketballsa.com.au,psinnott@basketballsa.com.au",(08) 8345 4212,-34.9047624,138.5324053,,2006,,Active,42 467 820 914,Entity Name,25%,,
Basketball SA,Sports & Fitness,Titanium Security Arena 44A Crittenden Rd,Findon,SA,5023,(08) 8268 8157,www.basketballsa.com.au ,"office@sacbci.com.au,psinnott@basketballsa.com.au",,-34.902497,138.543403,,,,Active,42 467 820 914,Entity Name,25%,,
Basketball Man,Sports & Fitness,,Kingsley,WA,6026,(08) 9309 9908,http://www.basketballman.com.au ,"info@basketballman.com.au,info@basetballman.com.au",,-31.8081026,115.7878761,,,,Active,47 467 868 483,Business Name,25%,,
Play Hard Sports Equipment,Sports & Fitness,Ern Harley Dr,Burleigh Heads,QLD,4220,1300 851 518,www.playhardsports.com.au ,"info@playhardsports.com.au,julian@sportplay.co.uk",,-28.10237255,153.4116933,,,,Active,79 066 094 559,Business Name,100%,79 066 094 559,
Play Hard Sports Equipment,Sports & Fitness,,Burleigh Heads,QLD,4220,(07) 5593 4494,,,,-28.0968254,153.443296,,,,Active,79 066 094 559,Business Name,100%,,
WA Basketball Academy,Sports & Fitness,585 Robertson Dr,College Grove,WA,6230,0457 747 866,http://wabasketball.academy ,FrancisCrawshaw@wabasketball.academy,,-33.366633,115.653247,,,,,,,,,
Mandurah Basketball Association,Sports & Fitness,303 Pinjarra Rd,Mandurah,WA,6210,(08) 9534 7908,,,,-32.537426,115.737349,,,,,,,,,
HP COACHING,Sports & Fitness,,Birrong,NSW,2143,0450 741 682,,,,-33.890626,151.0223952,,,,,,,,,
Grand Slam Sports Equipment,Sports & Fitness,,,,,1800 773 461,http://www.grand-slam.com.au ,"sales@grand-slam.com.au,info@advantagesports.com.au",,,,,,,,,,,,
Global Gym Equipment,Sports & Fitness,Unit 2 3 McGowan St,Pooraka,SA,5095,(08) 8234 6665,http://www.globalgymequipment.com/ ,globalgymequip@aol.com,,-34.8195,138.63776,,2001,,,,,,,
3 Pointers Basketball,Sports & Fitness,,Bardon,QLD,4065,0416 610 789,http://apbasketballacademy.com.au/ ,apbasketballacademy@gmail.com,,-27.4581816,152.9863296,,,,,,,,,
Rise Above,Sports & Fitness,,Essendon,VIC,3040,0405 831 256,,,,-37.7553456,144.9172892,,,,Active,33 861 165 486,Entity Name,50%,,
Tomorrow's Stars Basketball,Sports & Fitness,,Torquay,VIC,3228,0416 163 985,https://tsbasketball.com/ ,"tsbwebmasters@gmail.com,info@tsbasketball.com",,-38.3264451,144.3155613,,,,Active,46 732 461 162,Business Name,75%,,
Little Boomers Basketball,Sports & Fitness,150 Belmore Rd,Riverwood,NSW,2210,0422 320 492,http://www.littleboomersbasketball.com.au ,info@littleboomersbasketball.com.au,,-33.954202,151.051841,,,,,,,,,
Basketball Man,Sports & Fitness,,Wangara,WA,6065,0417 970 163,http://www.basketballman.com.au ,"graeme@basketballman.com.au,info@basketballman.com.au",,-31.7903838,115.8197973,,,,,,,,,
Sportsmetal Products Pty Ltd,Sports & Fitness,21 Viking Ct,Cheltenham,VIC,3192,(03) 9555 7555,,,,-37.950208,145.067747,,,,,,,,,
Northern Suburbs Basketball Association,Sports & Fitness,36 Hume St,Crows Nest,NSW,2065,(02) 9906 7877,http://www.nsba.com.au ,,,-33.824814,151.199805,,,,,,,,,
Infinate Possibilities Personal Training,Sports & Fitness,11 Little Ingles St,Port Melbourne,VIC,3207,0418 546 485,,,,-37.834783,144.948901,,,,,,,,,
Ignite In Me Life Pty Ltd,Sports & Fitness,307 Canterbury Rd,Canterbury,NSW,2193,(02) 8021 7909,,,,-33.914412,151.112917,,,,,,,,,
Gosford City Sports Stadium Inc,Sports & Fitness,Duffy's Rd,Terrigal,NSW,2260,(02) 4385 3577,www.gcbss.com.au ,"info@gcbss.com.au,info@bistadium.com.au",,-33.443342,151.424669,,1993,,,,,,,
Dubbo Basketball Association,Sports & Fitness,Sheraton Rd,Dubbo,NSW,2830,(02) 6882 2495,,,,-32.261371,148.645937,,,,,,,,,
Colarity - Professional Training & Coaching,Sports & Fitness,Ground Floor 33 Albion St,Surry Hills,NSW,2010,(02) 8866 2021,,,,-33.883289,151.213042,,,,,,,,,
Central Coast Waves Basketball Club,Sports & Fitness,Washington Ave,Niagara Park,NSW,2250,(02) 4328 1015,,,,-33.382985,151.353392,,,,,,,,,
Buffalo Sports,Sports & Fitness,314 Albert St,Brunswick,VIC,3056,(03) 9387 6022,Visit Our Website ,hq@buffalosports.com.au,,-37.76878,144.95767,,,,,,,,,
Australian Mini Basketball Academy,Sports & Fitness,4 Kentwell Rd,Concord,NSW,2137,(02) 8746 0555,,,,-33.86152,151.09656,,,,,,,,,
Australian Basketball Development (AUBD),Sports & Fitness,,Chadstone,VIC,3148,0404 839 301,http://www.aubd.com.au ,sedalejr@aubd.com.au,,-37.8878763,145.0952034,,,,,,,,,
Vic Cric Pty Ltd,Sports & Fitness,42 White Ave,Kew East,VIC,3102,(03) 9379 0335,,,,-37.79282,145.04114,,,,Active,81 067 474 382,Entity Name,25%,,
Premier Cricket Centres,Sports & Fitness,545 Gympie Rd,Strathpine,QLD,4500,(07) 3205 8880,,,,-27.29311,152.98811,,,,Active,30 105 550 552,Entity Name,25%,,
Meulemans Cricket Centre,Sports & Fitness,Unit 6/ 7 Delage St,Joondalup,WA,6027,(08) 9300 2020,,,,-31.745282,115.762489,,,,Active,74 878 624 201,Trading Name,75%,,
High Performance Cricket Tasmania,Sports & Fitness,10 Kingston View Dr,Kingston,TAS,7050,(03) 6229 7863,http://highperformancecricket.com.au/tasmania/indoor-cricket-centre/ ,"tasmania@highperformancecricket.com.au,info@thecrickethub.com.au",,-42.972563,147.285299,,,,Active,73 152 772 131,Business Name,75%,,
Southern Cricket Pty Ltd,Sports & Fitness,55 Farrington Rd,Leeming,WA,6149,(08) 9310 2670,http://www.southerncricket.net ,"luke@southerncricket.net,enquiries@southerncricket.net",,-32.079555,115.857544,,,,Active,28 140 852 848,Entity Name,100%,,
Cricket HQ,Sports & Fitness,51-53 Levanswell Rd,Moorabbin,VIC,3189,(03) 9018 9733,http://www.cricket-hq.com.au ,cricket@cricket-hq.com.au,,-37.945197,145.069532,,2018,P J Camm & Associates Pty Ltd,Active,70 006 977 484,Business Name,100%,70 006 977 484,
Taught & Bowled,Sports & Fitness,,Newton,SA,5074,0438 860 048,http://www.taughtandbowled.com.au ,"ben@taughtandbowled.com.au,admin@taughtandbowled.com.au",,-34.8870755,138.6894147,,,,,,,,,
South Australian Cricket Association Incorporated,Sports & Fitness,,,,,(08) 8300 3833,www.cricketsa.com.au ,,,,,,,,,,,,,
Sam Trimble Sports Pty Ltd,Sports & Fitness,41 Santley St,Mt Gravatt,QLD,4122,(07) 3848 9440,,,,-27.54449,153.07773,,,,,,,,,
Cricketers Club Ltd,Sports & Fitness,Vulture St,East Brisbane,QLD,4169,(07) 3896 4533,,,,-27.485204,153.040149,,,,,,,,,
Sydney Cricket Coaching,Sports & Fitness,,Hunters Hill,NSW,2110,0419 421 109,,,,-33.8339832,151.1446387,,,,Active,65 351 702 911,Business Name,50%,,
Graham Yallop,Sports & Fitness,,Clayton,VIC,3168,0408 324 202,,,,-37.926212,145.119553,,,,Active,11 970 516 031,Entity Name,50%,,
Big Future Cricket Academy,Sports & Fitness,,Castle Hill,NSW,2154,0405 000 390,https://www.facebook.com/bigfuturecricketacademy/ ,Anand@bigfutureacademy.com.au,,-33.7328755,151.0049495,,,,Active,75 605 886 258,Business Name,100%,,
Beyond The Boundary Cricket Coaching,Sports & Fitness,6 Hollister Pl,Carlingford,NSW,2118,0423 288 388,http://beyondtheboundarycricketcoaching.com ,btbcricketcoaching@gmail.com,,-33.767989,151.041975,,,,Active,71 650 091 369,Business Name,100%,,
Elite Cricket,Sports & Fitness,Tambourine Bay Rd,Lane Cove,NSW,2066,0422 787 727,https://www.elitecricket.com.au ,info@elitecricket.com.au,,-33.817237,151.165719,,,,,,,,,
Shaun Brown's Cricket Coaching,Sports & Fitness,59 Mercedes Dr,Thomastown,VIC,3074,(03) 9464 6664,,,,-37.688547,145.045013,,,,,,,,,
Sam Trimble,Sports & Fitness,Venner Rd,Fairfield,QLD,4103,0407 376 953,,,,-27.512582,153.02199,,,,,,,,,
Luv'It Cricket Coaching,Sports & Fitness,Unit 1/ 5 Alex Fisher Dr,Burleigh Heads,QLD,4220,(07) 5522 1224,,,,-28.103661,153.408053,,,,,,,,,
Joyce Brendan,Sports & Fitness,15 Austalis Dr,Mill Park,VIC,3082,(03) 9437 6928,,,,-37.66252,145.07754,,,,,,,,,
Impact Cricket Academy,Sports & Fitness,Kensington Tce,Toowong,QLD,4066,(07) 3309 3631,,,,-27.486953,152.987922,,,,,,,,,
Hume & Hovell Cricket Ground,Sports & Fitness,Hannas Road,Strath Creek,VIC,3658,(03) 5784 9344,,,,-37.282848,145.221183,,,,,,,,,
Hawthorn Cricket Centre,Sports & Fitness,13 Mayston St,Hawthorn,VIC,3122,(03) 9882 7960,www.hawthorncricketcentre.com.au ,enquiries@hawthorncricketcentre.com,,-37.82632,145.05202,,1967,,,,,,56 211 934 837,
Bright Ray,Sports & Fitness,8 Quelltaler Pl,Vermont South,VIC,3133,0418 220 848,,,,-37.857047,145.195561,,,,,,,,,
Workout World,Sports & Fitness,1489 Albany Hwy,Beckenham,WA,6107,(08) 9358 1822,,,,-32.027291,115.947126,,,,Active,95 115 285 099,Entity Name,25%,,
Workout World,Sports & Fitness,103 Duckworth St,Townsville,QLD,4810,(07) 4728 8459,www.workoutworld.com.au ,,,-19.27579,146.757566,,,,Active,95 115 285 099,Entity Name,25%,,
Workout World,Sports & Fitness,546 Lutwyche Rd,Lutwyche,QLD,4030,(07) 3857 7139,www.workoutworld.com.au ,,,-27.42135,153.033656,,,,Active,95 115 285 099,Entity Name,25%,,
Workout World,Sports & Fitness,"Shop 21, Citygate North Homemaker Centre, Cnr Ann and Wickham Sts",Fortitude Valley,QLD,4006,(07) 3852 5299,,,,-27.464175,153.028818,,,,Active,95 115 285 099,Entity Name,25%,,
Workout World,Sports & Fitness,101 - 103 Newcastle Rd,Fyshwick,ACT,2609,(02) 6280 6333,,,,-35.32853,149.17707,,,,Active,95 115 285 099,Entity Name,25%,,
Twotags,Sports & Fitness,,Spearwood,WA,6163,(08) 6498 0944,,twotags14@outlook.com,,-32.0991392,115.7821985,,,,Active,45 623 671 634,Entity Name,25%,,
Total Performance Sports,Sports & Fitness,11 Best St,Devonport,TAS,7310,(03) 6424 9366,,,,-41.178661,146.361792,,,Range of supplements,Active,68 132 831 139,Entity Name,25%,,
Think 24hr Fitness,Sports & Fitness,43 Godwin St,Bulimba,QLD,4171,0428 113 810,http://www.24hourgymfortitudevalley.com.au ,"Think24HrFitness25@gmail.com,newstead@think24hrfitness.com.au",,-27.452947,153.055815,,,,Active,47 300 800 496,Trading Name,25%,,
The Training Spot,Sports & Fitness,65 Sandgate Rd,Albion,QLD,4010,(07) 3162 6422,http://www.thetrainingspot.com.au ,,,-27.438596,153.043111,,,,Active,88 119 460 845,Entity Name,25%,,
The Fitness Shop,Sports & Fitness,317 Pascoe Vale Rd,Essendon,VIC,3040,(03) 9379 6211,http://www.thefitness-shop.com.au ,sales@thefitness-shop.com.au,,-37.745054,144.926485,,,,Active,70 603 545 660,Business Name,25%,,
The Fitness Generation,Sports & Fitness,23 Kelletts Rd,Rowville,VIC,3178,0411 518 586,,info@thefitnessgeneration.com.au,,-37.910783,145.243103,,1982,,Active,60 102 635 923,Entity Name,25%,,
TEKS Fitness Supplies,Sports & Fitness,Unit 9 520 Grand Junction Rd,Angle Park,SA,5010,(08) 8268 3380,https://teksfitnesssupplies.com ,info@teksfitnesssupplies.com,,-34.850944,138.56304,,,,Active,37 619 864 247,Business Name,25%,,
SuperGym,Sports & Fitness,1 George St,Thebarton,SA,5031,(08) 7226 2264,,,,-34.918845,138.578255,,,,Active,91 141 953 306,Entity Name,25%,,
SB Ever-FIT,Sports & Fitness,44 Harries Rd,Coorparoo,QLD,4151,(07) 3158 8887,,,,-27.4931,153.055713,,,,Active,76 164 571 420,Entity Name,25%,,
Russell Neil,Sports & Fitness,153 Seaford Rd,Seaford,VIC,3198,(03) 9773 6594,,,,-38.11136,145.14452,,,,Active,29 757 262 260,Trading Name,25%,,
Revolution Health Club,Sports & Fitness,75A Angas St,Adelaide,SA,5000,0402 372 687,http://www.revolutionhealthclubs.com.au/ ,scott@revolutionhealthclubs.com.au,,-34.930524,138.603851,,,,Active,21 600 601 894,Entity Name,25%,,
Result Based Training Gold Coast,Sports & Fitness,1 490 Scottsdale Dr,Varsity Lakes,QLD,4227,0439 669 599,,gc@resultbasedtraining.com.au,,-28.099791,153.406157,,,,Active,45 602 311 464,Entity Name,25%,,
ReboundOz,Sports & Fitness,,Carlton North,VIC,3054,1300 851 691,,,,-37.7845911,144.972883,,,,Active,60 109 172 698,Entity Name,25%,,
Power Plus Fitness,Sports & Fitness,Westfield Shopping Centre/ Shop 1349b/ Logan Rd,Upper Mt Gravatt,QLD,4122,(07) 3162 6114,http://www.powerplusfitness.com.au ,"powerplusfitness@yahoo.com,info@powerplusfitness.com.au",,-27.554582,153.080023,,,,Active,54 167 284 022,Entity Name,25%,,
Power Plus Fitness,Sports & Fitness,2928 Logan Rd,Underwood,QLD,4119,0402 716 707,www.powerplusfitness.com.au ,"powerplusfitness@yahoo.com,info@powerplusfitness.com.au",,-27.608366,153.112819,,,,Active,54 167 284 022,Entity Name,25%,,
Power Plus Fitness,Sports & Fitness,4 Darnick St,Underwood,QLD,4119,(07) 3841 7774,,,,-27.60766,153.11425,,,,Active,54 167 284 022,Entity Name,25%,,
Platypus Holdings Pty Ltd,Sports & Fitness,57 Boland St,Launceston,TAS,7250,(03) 6334 3202,,,,-41.427472,147.147719,,,,Active,45 009 566 947,Entity Name,25%,,
Orbit Health & Fitness Solutions,Sports & Fitness,Corner Norma Rd and Marmion St,Myaree,WA,6154,,http://www.orbitfitness.com.au,"sales@orbitfitness.com.au,eshop@orbitfitness.com.au",,-32.039937,115.822306,51-100,1983,,Active,51 058 192 457,Entity Name,25%,51 058 192 457,058 192 457
Orbit Health & Fitness Solutions,Sports & Fitness,1500 Albany Hwy,Beckenham,WA,6107,(08) 6241 3002,http://www.orbitfitness.com.au,"sales@orbitfitness.com.au,eshop@orbitfitness.com.au",,-32.026905,115.948425,51-100,1983,,Active,51 058 192 457,Entity Name,25%,51 058 192 457,058 192 457
Orbit Health & Fitness Solutions,Sports & Fitness,"Unit 3, 516 Alexander Drv",Malaga,WA,6090,(08) 6241 3000,http://www.orbitfitness.com.au,"sales@orbitfitness.com.au,eshop@orbitfitness.com.au",,-31.86158,115.878701,51-100,1983,,Active,51 058 192 457,Entity Name,25%,51 058 192 457,058 192 457
Orbit Health & Fitness Solutions,Sports & Fitness,146 - 156 Great Eastern Hwy,Midland,WA,6056,(08) 6241 3006,http://www.orbitfitness.com.au,"sales@orbitfitness.com.au,eshop@orbitfitness.com.au",,-31.893318,116.021996,51-100,1983,,Active,51 058 192 457,Entity Name,25%,51 058 192 457,058 192 457
Orbit Health & Fitness Solutions,Sports & Fitness,"470 Scarborough Beach Rd,",Osborne Park,WA,6017,(08) 6241 3000,http://www.orbitfitness.com.au,"sales@orbitfitness.com.au,eshop@orbitfitness.com.au",,-31.904255,115.808763,,,,Active,51 058 192 457,Entity Name,25%,,
NW Fitness Hire,Sports & Fitness,,Devonport,TAS,7310,(03) 6424 7717,www.nwfitness.com.au ,contactus@nwfitness.com.au,,-41.1783532,146.3609534,,,Locally owned and operated business,Active,91 814 869 905,Other Name,25%,,
Musclemania Fitness,Sports & Fitness,Unit 16 / 800 Illawarra Rd,Menai,NSW,2234,0419 771 667,www.musclemania.com.au ,"fitnessaustralia@yahoo.com.au,christina@musclemania.com.au",,-34.01658,151.01029,,1988,,Active,24 087 505 815,Entity Name,25%,,
Medisport Engineering,Sports & Fitness,Unit 8 520 Grand Junction Rd,Angle Park,SA,5010,(08) 8244 9755,,,,-34.85094,138.56304,,,,Active,68 871 642 178,Entity Name,25%,,
Manic Fitness,Sports & Fitness,18 Overland Dr,Narre Warren,VIC,3805,(03) 8790 6900,https://www.manicfitness.com.au ,manicfg@bigpond.net.au,,-38.020527,145.304867,,,,Active,37 108 412 308,Entity Name,25%,,
MacRae Rentals,Sports & Fitness,Unit 3 81 Bishop St,Kelvin Grove,QLD,4059,(07) 3356 3822,www.macraerentals.com.au ,info@macraerentals.com.au,,-27.44166,153.01093,,,,Active,26 010 812 923,Entity Name,25%,,
M Eames,Sports & Fitness,19 Pendleton Crst,Butler,WA,6036,(08) 9562 1992,,,,-31.643848,115.701991,,,,Active,83 785 831 979,Entity Name,25%,,
Life Fitness Australia,Sports & Fitness,228 Robinson Rd,Geebung,QLD,4034,1800 689 622,http://www.lifefitness.com.au/ ,enquiry@lifefitness.com.au,,-27.369143,153.050444,21-50,1997,,Active,98 079 300 815,Entity Name,25%,,
Kickbike,Sports & Fitness,9 Morrison St,Narangba,QLD,4504,1300 730 206,,,,-27.201531,152.976779,,,,Active,60 099 412 156,Business Name,25%,,
K2 Transformation,Sports & Fitness,29 Annie St,Coopers Plains,QLD,4108,0403 767 458,http://www.k2transformation.com.au ,info@k2transformation.com.au,,-27.564421,153.032578,,,,Active,62 600 834 106,Entity Name,25%,,
Johnson Health Tech Australia,Sports & Fitness,11/65 Business St,Yatala,QLD,4207,1800 006 969,Corporate Website ,marketing@jhta.com.au,,-27.73695,153.221065,,,,Active,57 141 256 715,Entity Name,25%,,
Johnson Health Tech Australia,Sports & Fitness,"6b Hazelwood Drive,",Morwell,VIC,3840,1800 006 969,Corporate Website ,marketing@jhta.com.au,,-38.245392,146.412525,,1975,,Active,57 141 256 715,Entity Name,25%,57 141 256 715,
Jim Bradley Speedball Company,Sports & Fitness,41- 45 Webber Parade,Keilor East,VIC,3033,(03) 9331 6060,,,,-37.73325,144.85587,,,,Active,88 064 163 042,Business Name,25%,,
